CDCA;BA-7S	BA-S	471.2422	15.0666	54.4078	45.1482
CDCA;GBA	GBA	448.3068	14.5014	54.2302	45.5398
CDCA;GBA-3S	GBA-S	528.2636	13.1145	53.5221	34.7201
CDCA;GBA-7S	GBA-S	528.2636	13.7284	58.3751	47.5181
CDCA;TBA	TBA	498.2895	14.9358	56.1063	48.063
CDCA;TBA-3S	TBA-S	288.6195	13.2922	54.3969	34.746
CDCA;TBA-7S	TBA-S	288.6195	13.6917	57.7788	44.7153
DCA;BA	BA	391.2854	11.2528	28.302	16.2878
DCA;BA-3S	BA-S	471.2422	14.2284	49.1124	36.9765
DCA;BA-12S	BA-S	471.2422	13.6473	45.4764	32.7831
DCA;GBA	GBA	448.3068	13.6413	47.5774	35.9108
DCA;GBA-3S	GBA-S	528.2636	13.4989	55.6843	40.3848
DCA;GBA-12S	GBA-S	528.2636	12.9219	50.8105	35.8911
DCA;TBA	TBA	498.2895	13.9628	48.8286	37.5129
DCA;TBA-3S	TBA-S	288.6195	13.3252	53.8187	35.1035
DCA;TBA-12S	TBA-S	288.6195	12.6966	49.3072	31.9208
HDCA;BA	BA	391.2854	13.301	43.8878	34.5143
HDCA;BA-6S	BA-S	471.2422	13.008	51.6853	43.1287
HDCA;BA-3S	BA-S	471.2422	13.7685	51.4623	41.1071
HDCA;GBA	GBA	448.3068	13.1081	54.5672	46.4459
HDCA;GBA-6S	GBA-S	528.2636	10.601	47.9951	23.4734
HDCA;GBA-3S	GBA-S	528.2636	11.7854	51.1016	30.6652
HDCA;TBA	TBA	498.2895	13.2468	54.3376	45.4809
HDCA;TBA-6S	TBA-S	288.6195	10.6568	47.1987	18.8163
HDCA;TBA-3S	TBA-S	288.6195	11.8786	50.9755	27.8544
isoCDCA;BA	BA	391.2854	11.8349	35.8252	25.5461
isoCDCA;BA-7S	BA-S	471.2422	14.2455	56.2524	50.5105
isoCDCA;BA-3S	BA-S	471.2422	14.0963	53.4461	43.9774
isoCDCA;GBA	GBA	448.3068	13.018	54.9895	50.1652
isoCDCA;GBA-7S	GBA-S	528.2636	12.4557	60.3686	55.9212
isoCDCA;GBA-3S	GBA-S	528.2636	12.715	57.8576	43.2561
isoCDCA;TBA	TBA	498.2895	13.0033	53.7263	47.2394
isoCDCA;TBA-7S	TBA-S	578.2463	11.8991	54.6511	39.8031
isoCDCA;TBA-3S	TBA-S	578.2463	12.8021	57.8124	40.8162
isoDCA;BA	BA	391.2854	11.5633	26.4452	14.6146
isoDCA;GBA	GBA	448.3068	12.815	39.1021	26.5237
isoDCA;TBA	TBA	498.2895	12.927	39.1493	26.4791
isoHDCA;BA	BA	391.2854	12.5461	41.8359	32.5394
isoHDCA;BA-6S	BA-S	471.2422	12.7414	47.8037	36.6121
isoHDCA;BA-3S	BA-S	471.2422	13.5323	52.2979	42.9387
isoHDCA;GBA	GBA	448.3068	12.4433	55.6276	49.6999
isoHDCA;GBA-6S	GBA-S	528.2636	10.5143	48.3176	26.4003
isoHDCA;GBA-3S	GBA-S	528.2636	11.3415	49.9398	24.8288
isoHDCA;TBA	TBA	498.2895	12.949	57.9685	53.2192
isoHDCA;TBA-6S	TBA-S	578.2463	10.4474	46.2446	18.1489
isoHDCA;TBA-3S	TBA-S	578.2463	11.5696	50.9184	24.53
isoUDCA;BA	BA	391.2854	11.8032	39.6363	31.0659
isoUDCA;BA-3S	BA-S	471.2422	12.3648	50.4585	41.8539
isoUDCA;BA-7S	BA-S	471.2422	13.0585	51.3569	43.1257
isoUDCA;GBA	GBA	448.3068	11.1324	49.719	43.0154
isoUDCA;GBA-3S	GBA-S	528.2636	10.6275	53.4879	37.6276
isoUDCA;GBA-7S	GBA-S	528.2636	11.3821	57.1027	51.6399
isoUDCA;TBA	TBA	498.2895	11.4889	50.8346	44.2325
isoUDCA;TBA-3S	TBA-S	578.2463	10.8394	54.2231	36.8356
isoUDCA;TBA-7S	TBA-S	578.2463	10.6825	49.2739	29.5068
MDCA;BA	BA	391.2854	11.8169	39.9287	31.3198
MDCA;BA-6S	BA-S	471.2422	12.4013	50.5806	41.6254
MDCA;BA-3S	BA-S	471.2422	12.4034	49.314	39.9873
MDCA;GBA	GBA	448.3068	11.4196	51.0759	45.6333
MDCA;GBA-6S	GBA-S	528.2636	10.2056	50.2865	30.2545
MDCA;GBA-3S	GBA-S	528.2636	12.1466	68.1329	75.1782
MDCA;TBA	TBA	498.2895	11.6944	51.6076	45.6013
MDCA;TBA-6S	TBA-S	288.6195	10.5854	52.869	34.2284
MDCA;TBA-3S	TBA-S	288.6195	11.4804	60.067	52.6092
UDCA;BA	BA	391.2854	12.2683	40.0059	31.0118
UDCA;BA-3S	BA-S	471.2422	13.0301	51.9589	43.7045
UDCA;BA-7S	BA-S	471.2422	14.0138	53.7035	45.1742
UDCA;GBA	GBA	448.3068	12.148	50.535	43.7289
UDCA;GBA-3S	GBA-S	263.62815	11.126	52.19	35.3087
UDCA;GBA-7S	GBA-S	263.62815	12.2342	54.7958	42.4684
UDCA;TBA	TBA	498.2895	12.176	49.3358	40.6641
UDCA;TBA-3S	TBA-S	288.6195	11.2495	52.2297	33.014
UDCA;TBA-7S	TBA-S	288.6195	12.3671	55.3563	41.9763
12o-DCA;BA	BA	389.2697	12.0911	35.9539	25.6433
12o-DCA;BA-3S	BA-S	469.2265	13.2392	50.025	40.39
12o-DCA;GBA	GBA	446.2912	12.702	49.1115	40.6813
12o-DCA;GBA-3S	GBA-S	262.62035	11.7281	52.1099	35.0951
12o-DCA;TBA	TBA	496.2738	12.8265	49.1208	40.3588
12o-DCA;TBA-3S	TBA-S	287.61165	11.9456	53.3389	35.8843
3o-CDCA;BA	BA	389.2697	11.5385	29.9088	18.3046
3o-CDCA;BA-7S	BA-S	469.2265	14.2866	51.7472	42.9166
3o-CDCA;GBA	GBA	446.2912	13.212	48.5224	39.5071
3o-CDCA;GBA-7S	GBA-S	526.248	12.5134	52.947	40.2859
3o-CDCA;TBA	TBA	496.2738	13.5606	49.7837	41.0374
3o-CDCA;TBA-7S	TBA-S	287.61165	12.6506	53.7293	40.3047
3o-DCA;BA	BA	389.2697	11.8425	31.7875	20.6725
3o-DCA;BA-12S	BA-S	469.2265	13.5419	47.3547	36.9235
3o-DCA;GBA	GBA	446.2912	13.5211	49.6212	41.3594
3o-DCA;GBA-12S	GBA-S	526.248	12.449	51.0912	38.2051
3o-DCA;TBA	TBA	496.2738	13.8447	50.9061	43.0903
3o-DCA;TBA-12S	TBA-S	287.61165	12.1059	48.6189	32.2871
